slug,status,nameEn,nameAr,placeType,district,claim_count,photo_count
al-aqmar-mosque,PUBLISHED_MEDIA,Al-Aqmar Mosque,جامع الأقمر,Mosque,Al-Gamaleya / Al-Mu'izz Street,1,1
al-azhar-mosque,PUBLISHED_MEDIA,Al-Azhar Mosque,جامع الأزهر,Mosque & University,Al-Darb al-Ahmar / Al-Azhar,1,1
al-azhar-park,PUBLISHED_MEDIA,Al-Azhar Park,حديقة الأزهر,Urban Park / Landscape Heritage,Al-Darb al-Ahmar,1,1
al-hussein-mosque,PUBLISHED_MEDIA,Al-Hussein Mosque and District,مسجد الإمام الحسين وحيه,Historic Monument / Structure,Historic Cairo,1,1
al-muizz-street,PUBLISHED_MEDIA,Al-Muizz Street,شارع المعز لدين الله,Historic Monument / Structure,Historic Cairo,1,1
al-rifai-mosque,PUBLISHED_MEDIA,Al-Rifa'i Mosque,مسجد الرفاعي,Historic Monument / Structure,Historic Cairo,1,1
bab-al-futuh,PUBLISHED_MEDIA,Bab al-Futuh,باب الفتوح,Historic Monument / Structure,Historic Cairo,1,1
bab-al-nasr,PUBLISHED_MEDIA,Bab al-Nasr,باب النصر,Historic Monument / Structure,Historic Cairo,1,1
bab-zuweila,PUBLISHED_MEDIA,Bab Zuweila,باب زويلة,Historic Monument / Structure,Historic Cairo,1,1
barquq-complex,PUBLISHED_MEDIA,Madrasa and Khanqah of Sultan Barquq,مدرسة وخانقاه السلطان برقوق,Historic Monument / Structure,Historic Cairo,1,1
bayn-al-qasrayn,PUBLISHED_MEDIA,Bayn al-Qasrayn,بين القصرين,Historic Monument / Structure,Historic Cairo,1,1
bayt-al-suhaymi,PUBLISHED_MEDIA,Bayt al-Suhaymi,بيت السحيمي,Historic Monument / Structure,Historic Cairo,1,1
cairo-citadel,PUBLISHED_MEDIA,Cairo Citadel,قلعة صلاح الدين الأيوبي,Historic Monument / Structure,Historic Cairo,1,1
citadel-of-cairo,PUBLISHED_MEDIA,Cairo Citadel,قلعة صلاح الدين,Historic Monument / Structure,Historic Cairo,1,1
complex-barquq-muizz,PUBLISHED_MEDIA,Khanqah and Mosque of Faraj ibn Barquq,خانقاه وفرج بن برقوق,Historic Monument / Structure,Historic Cairo,1,1
complex-qalawun,PUBLISHED_MEDIA,Qalawun Complex,مجمع السلطان قلاوون,Historic Monument / Structure,Historic Cairo,1,1
complex-sultan-hasan,PUBLISHED_MEDIA,Mosque and Madrasa of Sultan Hasan,مسجد ومدرسة السلطان حسن,Historic Monument / Structure,Historic Cairo,1,1
faraj-ibn-barquq-khanqah,PUBLISHED_MEDIA,Khanqah and Mosque of Faraj ibn Barquq,خانقاه فرج بن برقوق,Historic Monument / Structure,Historic Cairo,1,1
khan-al-khalili,PUBLISHED_MEDIA,Khan al-Khalili,خان الخليلي,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-aqmar,PUBLISHED_MEDIA,Al-Aqmar Mosque,جامع الأقمر,Historic Monument / Structure,Historic Cairo,1,1
mosque-al-azhar,PUBLISHED_MEDIA,Al-Azhar Mosque,جامع الأزهر,Historic Monument / Structure,Historic Cairo,1,1
