slug,status,nameEn,district,placeType,sourceCount,claimCount,photoCount,unresolvedCount
al-aqmar-mosque,PUBLISHED_MEDIA,Al-Aqmar Mosque,Fatimid Cairo / al-Muizz,mosque,3,4,0,2
al-azhar-mosque,PUBLISHED_MEDIA,Al-Azhar Mosque,Fatimid Cairo,mosque and university,2,4,0,2
al-azhar-park,PUBLISHED_MEDIA,Al-Azhar Park,Dar al-Ahmar / historic Cairo edge,public park and urban landscape,3,4,0,2
al-hussein-mosque,PUBLISHED_MEDIA,Al-Hussein Mosque and District,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
al-muizz-street,PUBLISHED_MEDIA,Al-Muizz Street,Fatimid Cairo,historic urban street and monument ensemble,2,4,0,2
al-rifai-mosque,PUBLISHED_MEDIA,Al-Rifa'i Mosque,Midan Salah al-Din / Citadel area,mosque and mausoleum,2,4,0,2
bab-al-futuh,PUBLISHED_MEDIA,Bab al-Futuh,Fatimid Cairo northern wall,city gate,2,4,0,2
bab-al-nasr,PUBLISHED_MEDIA,Bab al-Nasr,Fatimid Cairo northern wall,city gate,2,4,0,2
bab-zuweila,PUBLISHED_MEDIA,Bab Zuweila,Fatimid Cairo / al-Darb al-Ahmar,city gate and minaret landmark,2,4,0,2
barquq-complex,PUBLISHED_MEDIA,Madrasa and Khanqah of Sultan Barquq,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
bayn-al-qasrayn,PUBLISHED_MEDIA,Bayn al-Qasrayn,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
bayt-al-suhaymi,PUBLISHED_MEDIA,Bayt al-Suhaymi,al-Gamaliyya / al-Muizz,historic residence,2,4,0,2
cairo-citadel,PUBLISHED_MEDIA,Cairo Citadel,Mokattam / Citadel,citadel and historic governmental complex,2,4,0,2
citadel-of-cairo,PUBLISHED_MEDIA,Cairo Citadel,Mokattam / Citadel,citadel and historic governmental complex,2,4,0,2
complex-barquq-muizz,PUBLISHED_MEDIA,Khanqah and Mosque of Faraj ibn Barquq,Unknown — requires official or field verification.,historic place / research record,2,4,0,2
complex-qalawun,PUBLISHED_MEDIA,Qalawun Complex,Bayn al-Qasrayn / al-Muizz,"religious, medical, and funerary complex",3,4,0,2
complex-sultan-hasan,PUBLISHED_MEDIA,Mosque and Madrasa of Sultan Hasan,Midan Salah al-Din,mosque and madrasa complex,3,4,0,2
